title,text,subject,date
"Tillerson: Trump did not discuss 'sources, methods' in meeting with Russia's Lavrov","WASHINGTON (Reuters) - U.S. President Donald Trump did not discuss “sources, methods or military operations” in his meeting with Russian Foreign Minister Sergei Lavrov, Secretary of State Rex Tillerson said on Monday, after reports that Trump disclosed classified information. “During President Trump’s meeting with Foreign Minister Lavrov, a broad range of subjects were discussed among which were common efforts and threats regarding counter-terrorism.  During that exchange the nature of specific threats were discussed, but they did not discuss sources, methods or military operations,” Tillerson said in a statement. ",politicsNews,"May 15, 2017 "
Turkey arrests four people over explosion at Tupras refinery: Anadolu,"ANKARA (Reuters) - Turkish authorities arrested four people over Wednesday s explosion in a storage tank at a Tupras refinery which killed four people, the state-run Anadolu news agency said on Saturday. The explosion occurred following maintenance work at the refinery in the western Turkish province of Izmir, wounding two other workers, but had no impact on production. On Thursday, authorities had detained seven people over the blast, of which four have been formally arrested and three have been released on probation. The report gave no details of what charges the four may face. ",worldnews,"October 14, 2017 "
Ohio governor lacks power to suspend open carry law: spokeswoman,"CLEVELAND (Reuters) - Ohio Governor John Kasich lacks the power to suspend a state law allowing citizens to openly carry guns, his office said on Sunday, after a police union official called for a suspension ahead of the Republican National Convention in Cleveland. “Ohio governors do not have the power to arbitrarily suspend federal and state constitutional rights or state laws as suggested. The bonds between our communities and police must be reset and rebuilt - as we’re doing in Ohio - so our communities and officers can both be safe. Everyone has an important role to play in that renewal,” Kasich spokeswoman Emmalee Kalmbach said. ",politicsNews,"July 17, 2016 "
At least 65 media workers killed doing their jobs in 2017: Reporters Without Borders,"BERLIN (Reuters) - At least 65 media workers around the world have been killed doing their jobs this year, media freedom organization Reporters Without Borders said on Tuesday. Among the dead were 50 professional journalists, seven citizen journalists and eight other media workers. The five most dangerous countries were Syria, Mexico, Afghanistan, Iraq and the Philippines. Of those killed, 35 died in regions where armed conflict is ongoing while 30 were killed outside of such areas. Thirty-nine of those killed were targeted for their journalistic work such as reporting on political corruption or organized crime while the other 26 were killed while working due to shelling and bomb attacks, for example.   It s alarming that so many journalists were murdered outside of war zones,  said Katja Gloger, a board member of Reporters Without Borders.  In far too many countries perpetrators can assume they ll get off scot-free if they re violent towards media professionals,  she added. The organization said more than 300 media workers were currently in prison, with around half of those in five countries, namely Turkey, China, Syria, Iran and Vietnam.  ",worldnews,"December 19, 2017 "
"Trump, advisers craft more orderly response to North Korea after latest test","WASHINGTON (Reuters) - President Donald Trump on Sunday delivered a more orderly, less haphazard response than he has offered to other provocations by North Korea after Pyongyang conducted a powerful nuclear test that intensified the pressure on his young presidency. Trump s handling of Pyongyang s nuclear test reflected a more traditional approach to crisis management, which U.S. officials said illustrated the influence of the new White House chief of staff, retired Marine Corps General John Kelly, and Defense Secretary Jim Mattis. That included the tone the president struck in some early morning tweets. A meeting on the crisis that Trump convened on Sunday was limited to top aides and generals directly involved. In the past, according to administration officials, White House aides and others wandered in and out of such discussions,  contributing to an impression of policymaking chaos. After the meeting, Mattis, also a retired Marine Corps general, appeared before reporters, along with Joint Chiefs of Staff Chairman General Joseph Dunford, to warn North Korea of U.S. military resolve. Trump himself was more restrained. Last month, he inflamed tensions by declaring that North Korea might face  fire and fury like the world has never seen.  When asked on Sunday if he planned to launch an attack, he said only:  We ll see.   North Korea is a rogue nation which has become a great threat and embarrassment to China, which is trying to help but with little success,  Trump said on Twitter. A U.S. official who has participated in the discussions of how to respond to the North s sixth nuclear test, which Pyongyang says was of an advanced hydrogen bomb, told Reuters the U.S. response thus far reflected an improved organization.  If today s meeting and the president s public remarks on Twitter, and the outreach to our allies and others by Rex and others is an early indication, the process is at least more orderly,  said the official, referring to Secretary of State Rex Tillerson. The crisis is also presenting a test for Kelly, who officials said was trying to rein in the president s more combative impulses and place limits on who gets access to him. The Republican president has sometimes chafed at the restrictions his new chief of staff has imposed on the information flow in and out of the Oval Office in a bid to streamline the decision-making process, people familiar with the situation said.  You can t manage Trump like that,  said one outside Trump adviser, who predicted the president would eventually tire of the process. A second official familiar with the situation noted that  Kelly s influence extends so far.   The president is still the commander in chief, and he has his bully pulpit in Twitter,  said that official, who also requested anonymity to discuss internal White House matters. If there was a discordant note on Sunday, it might have been when Trump took to Twitter to admonish South Korea, a key ally, for what he termed a policy of  appeasement  of North Korea.  South Korea is finding, as I have told them, that their talk of appeasement with North Korea will not work, they (North Korea) only understand one thing!  he said on Twitter. A former senior State Department official criticized Trump for making the remark.  It was unseemly, unhelpful, and divisive to gratuitously slap our major ally at the very moment when the threat from (North Korea) has reached a new height,  said the official, who spoke on condition of anonymity. Mattis has a closer relationship with Trump than do Kelly, national security adviser H.R. McMaster and Tillerson, and had played the leading role in explaining to the president the military options and the dangerous implications of using any of them, the second U.S. official said.  It s no accident that it was Mattis who spoke to the media after the meeting,  the official said.  Both officials said Trump had been briefed on North Korea multiple times since taking office in January, but had pushed back against the idea that military action would be so costly that it should remain a last resort. Most military scenarios predict that a strike on North Korea would bring a massive missile and artillery response against South Korea and its capital, Seoul, resulting in mass casualties. For now, the strategy emerging in the White House includes greater economic pressure on China to step in to help resolve the crisis, officials said. Beijing denies it has sufficient influence on Pyongyang. The effort was signaled by Treasury Secretary Steven Mnuchin, who told  Fox News Sunday  that he was drafting a sanctions package in which  anybody who wants to do trade or business with them (North Korea) would be prevented from doing trade or business with us.  China is North Korea s biggest trading partner. A recent round of U.S. sanctions targeted some Chinese financial institutions, but administration officials said a broader effort was being contemplated. Whether Trump would launch such an effort is far from clear. He has sought to impose tariffs against Chinese steel imports but has been persuaded by his advisers not to take such a step because it could start a trade war. ",worldnews,"September 4, 2017 "
White House: Michelle Obama to join husband on trip to Britain,"WASHINGTON (Reuters) - U.S. first lady Michelle Obama will join her husband, President Barack Obama, for his trip to Britain later this week, the White House said on Monday. The Obamas will attend a private lunch with Queen Elizabeth and her husband, Prince Philip at Windsor Castle on Friday.  That evening they will have diner with Prince William, his wife Kate, and Prince Harry at Kensington Palace, White House spokesman Josh Earnest said. The president’s trip comes as the British weigh whether or not to remain in the European Union in an upcoming referendum and as Obama completes his final year in office as president.  ",politicsNews,"April 18, 2016 "
Trump paid $38 million in taxes in 2005: White House,"WASHINGTON (Reuters) - President Donald Trump paid $38 million in taxes on more than $150 million in income in 2005, the White House said on Tuesday, responding to an MSNBC report that the network had obtained two pages of the returns. MSNBC host Rachel Maddow said she received the documents from journalist David Cay Johnston, who said on her show that he received them in the mail. The returns, which MSNBC posted on its website, showed Trump paid an effective federal tax rate of 25 percent in 2005 after writing off $100 million in losses.  The White House said in a statement that Trump took into account “large scale depreciation for construction.” Trump has repeatedly refused to release his tax returns, drawing criticism throughout his campaign last year and speculation from his political rivals he was hiding something. A New York Times report in October said Trump, a New York real estate developer, declared a $916 million loss on his 1995 income tax returns. The newspaper said the large tax deduction could have allowed him to avoid paying federal income taxes for up to 18 years. But the returns posted by MSNBC on Tuesday showed that he did pay taxes in 2005. The returns do not indicate whether he paid taxes in other years or how much he might have paid. The Washington Post reported last year that Trump paid no federal income taxes for at least two years in the late 1970s. The White House said in a statement on Tuesday that Trump, as head of the Trump Organization, had a responsibility “to pay no more tax than legally required.” Presidents and major candidates for the White House have routinely released their income tax returns.  Trump says he has not released his tax returns because they are under audit by the Internal Revenue Service. Experts say an IRS audit does not bar someone from releasing the documents. During a September presidential debate, Democratic candidate Hillary Clinton criticized Trump, a Republican, for paying no federal income taxes. “That makes me smart,” he responded. Trump has feuded with the media since his inauguration, often accusing it of promoting “fake news” intended to undermine his presidency. “The dishonest media can continue to make this part of their agenda, while the President will focus on his, which includes tax reform that will benefit all Americans,” the White House said on Tuesday.  ",politicsNews,"March 15, 2017 "
Rationale for U.S.-EU trade deal still strong after Brexit vote: USTR,"WASHINGTON (Reuters) - Even after Britain’s vote to leave the European Union, the case for a U.S. free trade deal with the EU remains strong, the top U.S. trade official said on Friday. “The economic and strategic rationale for T-TIP remains strong,” U.S. Trade Representative Michael Froman said in a statement, referring to the Transatlantic Trade and Investment Partnership being negotiated by Washington and the EU. “We are evaluating the impact of the United Kingdom’s decision on T-TIP and look forward to continuing our engagement with the European Union and our relations with the United Kingdom,” Froman said. ",politicsNews,"June 24, 2016 "
U.S. House tax panel will not seek Trump tax returns: lawmaker,"WASHINGTON (Reuters) - A congressional tax oversight committee will not seek U.S. President Donald Trump’s tax returns despite calls from Democrats for a review to determine possible business ties to foreign countries including Russia, the panel’s Republican chairman said on Monday. Defying decades of precedent, Trump has refused to release his tax documents, which Democrats say could show whether his business empire poses any conflicts of interest as he moves forward on issues ranging from tax reform to foreign relations.  “If Congress begins to use its powers to rummage around in the tax returns of the president, what prevents Congress from doing the same to average Americans?” House of Representatives Ways and Means Committee Chairman Kevin Brady told reporters. “Privacy and civil liberties are still important rights in this country, and (the) Ways and Means Committee is not going to start to weaken them.” The Texas Republican was responding to questions about a Feb. 1 letter from Representative Bill Pascrell, a Ways and Means Democrat who asked Brady to obtain Republican Trump’s returns from the U.S. Treasury so the committee could review them in closed session and vote on whether to make them public. Pascrell later said he continued to hope for action, saying: “Our committee must respond by using its legal authority as Congress has in the past to provide proper oversight. This is Checks and Balances 101.” Experts say federal law authorizes the House Ways and Means Committee, the Senate Finance Committee and the Joint Committee on Taxation to examine individual tax returns. The two other panels are headed by Senator Orrin Hatch, a Utah Republican who dismissed the idea of seeking Trump’s returns last week. House Republicans contend that the authority to examine tax returns was meant to ensure the proper administration of the tax code. Brady said his panel was doing just that in 2014, when it released confidential tax data during a probe of IRS treatment of conservative group applications for nonprofit status. Pascrell’s letter said Trump’s business empire involves state-owned enterprises in China and the United Arab Emirates, Russia and Saudi Arabia. “It is imperative for the public to know and understand his...financial positions in domestic and foreign companies,” Pascrell wrote.  Brady said the letter misrepresented the law’s intent to promote confidentiality and privacy. “I’ve read his letter and I disagree with all of it,” he said. ",politicsNews,"February 13, 2017 "
Germany investigating reports of refugees forced into prostitution,"BERLIN (Reuters) - German authorities are investigating reports that asylum seekers in a Berlin refugee camp were forced into prostitution, officials said, adding that they had not been able to confirm that such incidents had taken place. The allegations come amid heightened concern at Germany s ability to integrate the 1.1 million refugees who arrived in 2015 and 2016. The political parties negotiating to form a new national coalition government are arguing over whether to impose a cap on immigration numbers. Broadcaster ZDF reported on Tuesday that employees of a security company that runs several refugee camps in Berlin were luring asylum seekers, some of them minors, into prostitution. Both national government and Berlin city officials said they were investigating the allegations, and Berlin said its staff would be given further training to help them identify such cases.  If the allegations of security staff profiting from and driving refugees into prostitution are true, these would be very serious charges,  said government spokesman Steffen Seibert said.  Exploiting the material hardship in which many refugees and immigrants live is totally unacceptable. Forcing people into prostitution is morally reprehensible,  he said. ",worldnews,"October 26, 2017 "
Clinton's surprise Michigan loss exposes risks for her on trade,"WASHINGTON (Reuters) - Democrat Hillary Clinton’s unexpected defeat in Michigan has laid bare growing voter anger over international trade, raising warning flags for her ahead of a possible presidential election showdown against Republican front-runner Donald Trump. Trump has built his campaign on pledges to scrap international trade deals and do more to protect American workers from foreign competition, tapping the same groundswell of discontent that propelled Clinton’s rival Bernie Sanders to victory in the Midwestern state on Tuesday. Clinton remains heavily favored to win the Democratic nomination. But the setback in Michigan could signal further troubles in upcoming primaries in other Rust Belt states such as Ohio, forcing her further to the left on economic issues and possibly influencing her choice for an eventual running mate, strategists said. The backlash against 20 years of trade liberalization has stalled the Trans Pacific Partnership (TPP), a sweeping Pacific trade deal backed by President Barack Obama and threatens to stymie the trade agenda for years to come. “It’s politically radioactive to support free trade right now,” said Greg Valliere, a Washington analyst for Horizon Investments, a financial firm. Clinton’s troubles with her party’s left wing — and with white, working class voters more generally — may steer her toward a trade skeptic such as Senator Sherrod Brown of Ohio as a vice presidential running mate, said Democratic strategist Steve Jarding. Political pundits had expected Clinton to pick someone to increase her appeal to Hispanic or other minority voters, such as U.S. Housing and Urban Development Julian Castro. Sanders, 74, is unlikely to end up as Clinton’s running mate, partly due to his age, Democrats said. Both Sanders, a democratic socialist, and billionaire Trump have harnessed anti-trade sentiment in their insurgent White House bids, criticizing deals like NAFTA as job killers that have depressed the living standards of working Americans. Exit polls from Michigan, a hub of the U.S. auto industry, show widespread voter skepticism on trade that may have helped Sanders and Trump win their respective party primaries.  “She made a fundamental mistake early on in this campaign to try to stay in the center,” Democratic strategist Steve Jarding said of Clinton. “This cycle, there is no center.” Sanders campaigned heavily against foreign trade in a state that has been hammered by overseas competition since the 1980s. Some 58 percent of his supporters in Michigan exit polls said that trade takes away U.S. jobs, while a slight majority - 53 percent - of Clinton backers said trade creates U.S. jobs. The Economic Policy Institute, a left-leaning think tank, estimates that Michigan would lose 5 percent of its jobs if TPP were to take effect, the highest proportion of any state. Gary Hunley, a substitute teacher in Dearborn, Michigan, said he believed Clinton was partially to blame for stagnant wages because NAFTA was enacted under her husband Bill Clinton’s presidency in the 1990s. “She was not a passive first lady,” Hunley said. Clinton’s stance on trade is more nuanced than Trump’s and Sanders’. After NAFTA was enacted, she voted against a free-trade deal with Central America while serving as a U.S. senator in the following decade. As Obama’s secretary of state, Clinton helped negotiate the TPP with Japan, Vietnam and other Pacific Rim countries.  As a presidential candidate, Clinton has said after reading the final language of the deal she would vote against it because it does not adequately protect U.S. workers.  Clinton campaign manager Robby Mook told reporters Wednesday there were no plans to adjust her stance and that he would “put Secretary Clinton up against any candidate in this race on trade,” including Trump.  Despite backing by the Obama administration, Republican lawmakers and many business groups, Republican leaders in Congress have shown no sign that they will bring TPP up for a  vote this year. The Obama administration says the deal has high labor and environmental standards that were not part of NAFTA. “I’m not sure that has fully been absorbed in the public mindset,” U.S. National Security Adviser Susan Rice told Reuters. [L1N16H1VJ] The deal may fare no better under the next president. Sanders and Trump oppose TPP, and Senator Ted Cruz, who is in second place in the Republican contest, has said he would not vote for it this year. “They’ve listened to the public and politicians have caught up with the public on this,” Brown, the Ohio Democratic senator, told Reuters. The evidence that the TPP would help the U.S. economy much is less than conclusive. The Peter G. Peterson Institute, a pro-trade think tank, estimates that it would boost economic growth by just 0.5 percent after 15 years. The deal would not boost employment overall, but would result in a “churn” of 53,700 jobs lost and created each year, and it would boost incomes by 0.5 percent, the institute found.  Another estimate by the Global Development and Environment Institute at Tufts University found the trade deal would slow growth by 0.54 percent after 10 years and cost 448,000 jobs in the United States.  (Additional reporting by David Lawder, Amanda Becker, Valerie Volcovici, Richard Cowan, Roberta Rampton and John Whitesides; editing by Stuart Grudgings) This article was funded in part by SAP. It was independently created by the Reuters editorial staff. SAP had no editorial involvement in its creation or production.",politicsNews,"March 9, 2016 "
Zimbabwean activist pastor arrested for criticizing Mugabe government,"HARARE (Reuters) - Zimbabwean police arrested activist pastor Evan Mawarire of the #ThisFlag movement as he stepped down from his pulpit, accusing him of subversion for a series of social media posts that charged Robert Mugabe s government had wrecked the economy, his lawyer told Reuters on Sunday. Lawyer Harrison Nkomo said Mawarire was arrested and charged with subversion, which carries a maximum term of life imprisonment, for a Facebook video he posted on Saturday lambasting the government over its economic policies. Over the last few days, shortages of basic goods and fuel have emerged, resulting in panic buying by consumers. Prices of imported products are also going up, which businesses blame on shortages of foreign exchange. Mawarire has been at the heart of a protest movement against Mugabe s 37-year rule. In 2016, he led a stay-at-home demonstration that resulted in the first of his now three arrests for what the state says are attempts to overthrow the government. Mawarire was already due to face trial of subversion over the 2016 protests at a High Court trial on Monday.   He is due to appear in court tomorrow on subversion charges emanating from last year. So we really don t know how the state will proceed,  said Nkomo. Press and social media reports, including Mawarire s post, on shortages of basic goods and foreign exchange were meant to cause alarm in the country, said Ignatius Chombo, minister of home affairs, the ministry in charge of the police, said in a statement.  Government is closely monitoring the press and social media reports in question with a view to taking decisive action to deal a telling blow to the perpetrators of the crime in terms of the laws of the country s justice system,  Chombo said. A statement on the website of the United States embassy in Harare published on Friday said it would be monitoring the pastor s trial, and called for  an end to arbitrary arrests and intimidation for political purposes.   Mugabe, 93, has held power since independence from Britain in 1980. He is under mounting pressure from angry Zimbabweans, as well as his war veterans allies, who last year rebuked him as a manipulative dictator and called for him to step down. ",worldnews,"September 24, 2017 "
U.S. condemns threat to ban Venezuela opposition from elections,"WASHINGTON (Reuters) - The U.S. State Department on Monday condemned Venezuelan President Nicolas Maduro s threat to ban opposition parties from participating in next year s presidential elections.  The Venezuelan people deserve the right to express their views and consent to governance through a free and fair democratic process that is open to all candidates, the department said in a statement.  After three opposition parties boycotted mayoral elections on Sunday, Maduro said on Monday they should be banned from participating in future elections. ",worldnews,"December 12, 2017 "
"Convoy rolls into Damascus suburbs with aid for 40,000: U.N.","GENEVA (Reuters) - A convoy from the United Nations and Syrian Arab Red Crescent entered towns in the besieged Damascus suburb of eastern Ghouta on Monday, bringing aid to 40,000 people for the first time since June 2016, the United Nations said. A tightening siege by government forces has pushed people to the verge of famine in the eastern suburbs, residents and aid workers said last week, bringing desperation to the only major rebel enclave near the Syrian capital. The U.N. Office for the Coordination of Humanitarian Affairs (OCHA) said on Twitter they had entered the towns of Kafra Batna and Saqba. The Syrian Arab Red Crescent said in a separate tweet that the inter-agency convoy had 49 trucks.  They carried food, nutrition and health items for 40,000 people in need, OCHA spokesman Jens Laerke said.  The last time we reached these two locations were in June 2016,  he said. A health worker in Saqba who was present when the convoy started to offload said that nine trucks of foodstuffs, including milk and peanut butter, and four trucks of medicines had arrived so far.  Technical specialists were on board to assess needs in the towns in order to plan a further humanitarian response, he said.  More aid to complement today s delivery is planned in the coming days,  Laerke added. At least 1,200 children in eastern Ghouta suffer from malnutrition, with 1,500 others at risk, a spokeswoman for the U.N. children s agency UNICEF said last week. Bettina Luescher, spokeswoman of the U.N. World Food Programme (WFP), said the convoy carried nutrition supplies for 16,000 children. Food, fuel and medicine once travelled across frontlines into the suburbs through a network of underground tunnels. But early this year, an army offensive nearby cut smuggling routes that provided a lifeline for around 300,000 people in the enclave east of the capital. ",worldnews,"October 30, 2017 "
One body found near wreckage of Russian helicopter off Svalbard,"OSLO (Reuters) - The body of a man who died when a Russian Mi-8 helicopter crashed off the Arctic archipelago of Svalbard on Thursday was found near the crash site at the bottom of the sea, the office of the governor of Svalbard said on Monday. Eight Russian men   five crew and three passengers   died on board a helicopter that crashed on Thursday on its way from the abandoned Pyramiden settlement to the coal mining port of Barentsburg.  The deceased was located by an ROV (remotely operated underwater vehicle) on the ocean floor approximately 130 meters (142 yards) from the helicopter,  the office of the governor of Svalbard said in a statement on its website on Monday. This was the first body located after the crash. The other seven individuals are missing, presumed dead. ",worldnews,"October 30, 2017 "
Congress passes funding bill averting government shutdown,"WASHINGTON (Reuters) - The U.S. Congress approved a stop-gap funding bill on Wednesday that averts a looming federal government shutdown and provides urgently needed money to help battle an outbreak of the Zika virus. Passage of the bipartisan legislation came shortly after Republicans and Democrats ended a months-long fight over whether Washington should provide aid to the city of Flint, Michigan, as it struggles with a crisis over contaminated drinking water. Separate legislation was approved by the House of Representatives earlier in the day setting aid for Flint. It must now be reconciled with a somewhat different bill passed by the Senate.   The House voted 342-85 in a late-night session on Wednesday to approve stop-gap funding to keep the U.S. government operating from Oct. 1, the start of the new fiscal year, until Dec. 9, when lawmakers will attempt to approve longer-term money. With existing funds due to expire on Saturday, House Appropriations Committee Chairman Hal Rogers said the legislation “is a last resort, but at this point it is what we must do ... to keep the lights on in our government.” The Senate voted 72-26 earlier on Wednesday to adopt the short-term spending bill. Besides providing money to keep the government operating, the legislation also contains $1.1 billion to battle the Zika virus that has hit Puerto Rico hard and spread to U.S. states, most notably Florida. The disease can cause severe birth defects. Funds would be used to develop a vaccine and reduce Zika exposure. The bill also includes $500 million for flood relief in Louisiana and other states. In a series of carefully orchestrated maneuvers after the Senate approved the temporary funding, the House passed a wide-ranging water resources bill containing $170 million to assist Flint by a vote of 399-25. Democrats have demanded action on the crisis, which stems from dangerous levels of lead in Flint’s drinking water. A Senate version of the bill contains $220 million for Flint and other cities with problem water systems. The two chambers will have to hammer out compromise legislation after the Nov. 8 presidential and congressional elections. Wednesday’s flurry of activity in Congress came as lawmakers rushed to recess this week until after the elections.        Conservative groups urged Congress to defeat the funding bill. However, with House and Senate members facing an imminent deadline for approving new money and lawmakers eager to go home to campaign for re-election, the measure moved quickly through Congress on Wednesday. The White House said it was disappointed that the temporary funding bill continued a provision barring the Securities and Exchange Commission from taking action to increase transparency in public companies’ political spending. It also expressed disappointment that Congress failed to take steps to ensure that the Export-Import Bank was able to fully operate its loan guarantee programs. Nevertheless, President Barack Obama is expected to sign the bill into law. ",politicsNews,"September 28, 2016 "
China top graft buster says corruption fight 'world class hard',"BEIJING (Reuters) - Fixing the corruption problem in China s ruling Communist Party is  world class hard  and the battle will never end, the country s top graft-buster told Singapore s prime minister in a rare meeting with a visiting foreign leader. Wang Qishan, who heads the party s Central Commission for Discipline Inspection, has been at the forefront of President Xi Jinping s fight against deep-seated corruption, and speculation has swirled about whether he will retire or stay on at next month s key party Congress. Meeting Singapore Prime Minister Lee Hsien Loong at the central leadership s Zhongnanhai compound in Beijing, Wang said the party s anti-corruption campaign and efforts to supervise itself had been highly effective.  Carrying out an operation on yourself to cure an illness is world class hard,  the commission cited Wang as saying, in a statement late on Wednesday. The party has long insisted it has no need for an independent anti-corruption mechanism, in a country where the party also controls the legal system. Wang said that the final aim in the graft fight was to find an effective route to self-supervision for a party that has been in power for a long time, and to always maintain the party s  progressiveness and cleanliness . The party s efforts have won the trust of the people and demonstrates the party s confidence in its system, he added. The anti-corruption effort is  always on the road , Wang said, using a frequently used party expression to refer to how the campaign will not end. Singapore s Straits Times said that the meeting with Wang had been requested by Lee, and that Wang told Lee he was surprised but happy the request had been made.  So I sought permission and I am here meeting you and your delegation today,  Wang told Lee, the newspaper reported.  Wang, who is 69 and sits on the party s elite ruling Standing Committee, should retire at next month s party Congress according to unwritten party rules on age limits, but he is close to Xi and could stay on in some capacity, sources with ties to the leadership have said. ",worldnews,"September 21, 2017 "
Trump says democracy must be restored in Venezuela soon,"NEW YORK (Reuters) - President Donald Trump said on Monday he wanted democracy restored soon in Venezuela and warned that the United States might take additional measures to apply pressure on the oil-producing nation. At a dinner with Latin American leaders on the fringes of the U.N. General Assembly, Trump said the Venezuelan people were starving and their country, once one of the wealthiest, was collapsing.     Brazilian President Michel Temer told reporters afterwards that all present at the dinner agreed on the need to ramp up international pressure on the Socialist government of President Nicol s Maduro but without intervening directly in Venezuela. The United States has applied financial sanctions against Venezuela, the supplier of 10 percent of the oil it consumes, and Trump said his government is prepared to take additional steps if Maduro continues on a path to authoritarian rule. Saying the situation in Venezuela was  completely unacceptable,  Trump called for a full restoration of democracy and political freedoms.  We want it to happen very soon.  Besides Temer, Trump invited presidents Juan Manuel Santos of Colombia, Juan Carlos Varela of Panama and Argentine Vice President Gabriela Michetti to the dinner with their foreign ministers. At least 125 people have been killed in four months of protests against the Maduro government, which has resisted calls to bring forward the presidential election and instead set up a pro-Maduro legislative superbody called a Constituent Assembly that has overruled the country s opposition-led Congress.   To make matters worse, Maduro has defied his own people stealing power from their elected representatives to preserve his disastrous rule,  Trump said at the dinner.       Maduro has blamed Venezuela s financial troubles on an alleged  economic war  by domestic opponents and the United States. Latin American governments have called for negotiations to resolve the crisis through a peaceful transition to democracy, especially Colombia and Brazil which have long borders with Venezuela and are receiving tens of thousands of Venezuelans fleeing the economic chaos and political turmoil. While the Trump administration has imposed financial sanctions and Trump has called for tougher action, Latin American leaders have stuck to diplomatic sanctions and ruled out a military intervention, an option Trump has mentioned.  Evidently, everyone at the table wants a democratic solution in Venezuela, but no one wants a foreign intervention,  Temer said. Sanctions were not discussed at the dinner, the Brazilian leader said.  We are talking about verbal sanctions, with democratic words, diplomatic words,  Temer said. ",worldnews,"September 18, 2017 "
Australian police say car that hit pedestrians in Melbourne was a deliberate act,"SYDNEY (Reuters) - A car was deliberately driven into pedestrians in the Australian city of Melbourne on Thursday, injuring up to 14 people, though the motive was not known, police said.  We believe based on what we have seen that it is a deliberate act,  Victorian Police commander Russell Barrett told media in Melbourne.  The motivations are unknown.    ",worldnews,"December 21, 2017 "
South Korea calls for 'bone-numbing' sanctions on North for nuclear test,"SEOUL (Reuters) - South Korea warned North Korea on Wednesday that the United States and its allies were working on sanctions to inflict “bone-numbing pain” after its latest nuclear test, and urged China to do its part to rein in its isolated neighbor.  With tension high on the border after the North’s fourth nuclear test on Wednesday last week, South Korean forces fired shots toward what Yonhap News Agency said was a suspected North Korean drone.  It returned to the North after the shots, South Korean military officials told Reuters. The North’s nuclear test angered both China and the United States and again raised questions about what can be done to stop its development of nuclear weapons. The World Economic Forum withdrew its invitation for North Korea’s foreign minister to attend its annual Davos meeting because of the nuclear test. It was to have been the country’s first participation in the event in 18 years. The U.S. House of Representatives voted nearly unanimously on Tuesday to pass legislation to broaden sanctions on the North. But apparently unperturbed by the prospect of further international isolation, North Korean leader Kim Jong Un called for an expansion of the size and power of his country’s nuclear arsenal, urging the “detonation of more powerful H-bombs”, the North’s state media reported. North Korea said last week it had tested a powerful hydrogen bomb but the United States and various experts doubt that, as the blast was roughly the same size as that from its previous test, of an atomic bomb, in 2013. South Korean President Park Geun-hye said more “provocations” by the North including “cyber-terrorism” were possible and new sanctions should be tougher than previous ones. She did not give specifics. “We are cooperating closely with the United States and allies to come up with effective sanctions that will make North Korea feel bone-numbing pain, not only at the Security Council but also bilaterally and multilaterally,” she said in a speech. Park said South Korea and China were discussing a U.N. Security Council resolution on North Korea, noting that China had stated repeatedly that it would not tolerate its nuclear program. China is North Korea’s main ally and trade partner but it opposes its bombs, while Beijing’s ties with South Korea have grown closer in recent years. “I am certain that China is very well aware if such a strong will isn’t followed by necessary steps, we will not be able to stop the North’s fifth and sixth nuclear tests and we cannot guarantee true peace and stability,” Park said. “I believe the Chinese government will not allow the situation on the Korean peninsula to deteriorate further.” Sung Kim, U.S. special representative for North Korea policy, met with his South Korean and Japanese counterparts in Seoul on Wednesday and said the three agreed that a “meaningful” new sanctions resolution was needed from the Security Council. “I hope the Chinese authorities agree with us that we simply cannot take a business as usual approach to this latest provocation. We will be working very closely with them to come up with a meaningful resolution,” he said. In Washington, White House deputy national security adviser Ben Rhodes said China could and should put more pressure on North Korea. “We understand their concern about instability on the Korean peninsula, but the fact of the matter is that the current status quo is destabilizing where you have nuclear tests,” he told a news briefing. Rhodes said it was important the United States and its allies developed capabilities to respond and referred to Sunday’s U.S. B-52 bomber flight over South Korea, missile defense and military cooperation with both South Korea and Japan. Rhodes also said that President Barack Obama chose not to mention North Korea in his State of the Union address on Tuesday as he did not want to give Kim Jong Un the attention. “He likes attention and probably would like nothing more than the president to spend a lot of time to talk about it in the State of the Union,” Rhodes said. “We didn’t particularly feel compelled to give him that attention.” China rejects complaints it is not doing enough on North Korea. In Beijing, Foreign Ministry spokesman Hong Lei said China’s efforts toward a denuclearised Korean peninsula would continue. “This is in everyone’s interests and is everyone’s responsibility, including China and South Korea,” he said. The U.S. House sanctions measure passed by 418-2 and Senate leaders expect to consider a similar bill shortly. The House bill had been introduced in 2015 but was brought up for a vote only after North Korea’s latest test. “(The bill) uses targeted financial pressure to isolate Kim Jong Un and his top officials from the assets they maintain in foreign banks, and from the hard currency that sustains their rule,” said Republican Representative Ed Royce, chairman of the House Foreign Affairs Committee and an author of the measure. To become law, it must also pass the U.S. Senate and be signed by Obama. The 28,500 U.S. troops in South Korea have been put on high alert as a noisy propaganda battle is played out across the heavily fortified border with the North. South Korea, still technically at war with the North since their 1950-53 conflict ended in a truce, not a treaty, has for days been blaring propaganda through loudspeakers across the border. South Korea’s military said it had found anti-South leaflets in the Seoul area, which it suspects were dropped from North Korean hot air balloons. South Korean financial regulators met computer security officials at 16 banks and financial institutions and urged vigilance in the face of possible cyberattacks by North Korea, although none has been detected. ",politicsNews,"January 13, 2016 "
